frame,joint,mpjpe_mm_post_alignment
42,12,0.18091751030660755
42,13,0.18307537248446812
42,14,0.2141189147316882
42,15,0.07350251341316684
42,16,0.19937630720933713
43,0,0.20831869994290136
43,2,0.11571093195790963
43,5,0.11461234003838529
43,6,0.17120371353743372
43,7,0.3825319812083196
43,8,0.4038926157941762
43,9,0.051262753861557556
43,10,0.26196864068448444
43,11,0.2842575547005494
43,12,0.19222391147450055
43,13,0.16731130777666983
43,14,0.23090924474437938
43,15,0.10761324127802262
43,16,0.1887070860527733
44,0,0.19637527512089598
44,2,0.08759480717478853
44,5,0.12112086408981505
44,6,0.15240411975514914
44,7,0.36511321052255125
44,8,0.4407431679319563
44,9,0.09503020527008295
44,10,0.25518792744999674
44,11,0.28902204663386577
44,12,0.18991006953685932
44,13,0.14339738206061556
44,14,0.2385219366946771
44,15,0.06718902246249164
44,16,0.14120653137879646
45,0,0.19921626271666037
45,2,0.08403189928281467
45,5,0.12172304652337153
45,6,0.19641959495346234
45,7,0.3718006022978874
45,8,0.4599358977415534
45,9,0.1548490497647531
45,10,0.20851736099638177
45,11,0.28738775862306537
45,12,0.18548219797475016
45,13,0.15393198570863062
45,14,0.22744656880757363
45,15,0.06691464677878155
45,16,0.14646616403861795
46,0,0.19037899746571396
46,1,0.18656508670481578
46,2,0.05044709378056932
46,3,0.1409818595792299
46,4,0.3196206728797385
46,5,0.1243954150648252
46,6,0.11918573490609125
46,7,0.30940155751630244
46,8,0.33618521426311304
46,9,0.07597546699702251
46,10,0.22450718045648518
46,11,0.2547451334876455
46,12,0.17374063266389256
46,13,0.11840896610083756
46,14,0.21619077856079957
46,15,0.08303522257166561
46,16,0.11975304373690189
47,0,0.13831645752923652
47,1,0.13067879860415726
47,2,0.17346893468701954
47,5,0.07506830428714946
47,6,0.2317546148657341
47,8,0.5264326764635961
47,10,0.26562390308316863
47,11,0.2790738345001584
47,12,0.18095241913994525
47,13,0.17245666006578486
47,14,0.2748601134063064
47,15,0.12741144520930467
47,16,0.1765069555460149
48,0,0.1582928228950781
48,1,0.15084964706420306
48,2,0.11055246897557683
48,5,0.09438891225418825
48,6,0.17020558951859263
48,7,0.4077758375943302
48,8,0.43867241746902297
48,9,0.09171039195179599
48,10,0.260061154252408
48,11,0.2730582727334615
48,12,0.18114772104494467
48,13,0.15960077601434924
48,14,0.23641699972815794
48,15,0.060833752922457844
48,16,0.14268419934673734

STATISTIC,VALUE_mm
mean_mpjpe,0.22
median_mpjpe,0.20
min_mpjpe,0.01
max_mpjpe,0.54
total_joint_pairs,599
total_frames,48

JOINT_INDEX,MEAN_ERROR_mm,NUM_MEASUREMENTS
0,0.17,14
1,0.14,8
2,0.12,10
3,0.24,11
4,0.27,15
5,0.13,48
6,0.16,48
7,0.37,34
8,0.40,48
9,0.15,27
10,0.32,48
11,0.30,48
12,0.22,48
13,0.16,48
14,0.21,48
15,0.08,48
16,0.18,48
